,local_description,full_name,isin,pricescale,date,open,high,low,close,volume
2092,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-26 07:00:00,24.48,24.995,24.09,24.945,16007500.0
2093,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-27 07:00:00,24.97,25.25,24.8,25.2,11198900.0
2094,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-28 07:00:00,25.19,26.375,24.93,26.12,16316600.0
2095,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-31 07:00:00,26.235,26.235,25.605,26.035,12338000.0
2096,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-01 07:00:00,26.035,26.49,25.9,26.27,8877200.0
2097,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-02 07:00:00,26.3,26.4,25.27,25.58,10136700.0
2098,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-03 07:00:00,25.8,25.87,25.345,25.65,7915800.0
2099,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-07 07:00:00,25.91,26.18,25.73,26.13,8224200.0
2100,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-08 07:00:00,26.2,26.2,25.705,25.825,6356100.0
2101,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-09 07:00:00,25.82,25.83,25.055,25.27,8635400.0
2102,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-10 07:00:00,25.3,25.75,25.28,25.68,7358700.0
2103,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-11 07:00:00,25.705,25.9,25.4,25.635,7354100.0
2104,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-14 07:00:00,25.635,25.87,25.5,25.63,5606400.0
2105,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-15 07:00:00,25.65,25.725,24.2,25.01,13108600.0
2106,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-16 07:00:00,25.22,25.585,25.065,25.455,5958100.0
2107,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-17 07:00:00,25.485,25.74,25.35,25.515,7572100.0
2108,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-18 07:00:00,25.53,25.53,25.365,25.455,3926400.0
2109,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-21 07:00:00,25.39,25.42,24.735,24.945,10792400.0
2110,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-22 07:00:00,24.95,25.15,24.81,25.08,3789000.0
2111,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-23 07:00:00,25.125,25.14,24.66,24.9,13381600.0
2112,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-24 07:00:00,24.99,25.2,24.88,25.065,6964100.0
2113,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-25 07:00:00,25.01,25.09,24.89,25.0,3077700.0
2114,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-28 07:00:00,24.885,24.975,24.745,24.82,3977600.0
2115,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-29 07:00:00,24.85,24.96,24.78,24.91,3243900.0
2116,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-11-30 07:00:00,24.96,24.96,24.75,24.885,2181300.0
2117,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-01 07:00:00,24.905,24.925,24.585,24.845,3707000.0
2118,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-02 07:00:00,24.85,26.25,24.7,25.845,26128200.0
2119,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-05 07:00:00,25.805,26.14,25.53,25.59,13078500.0
2120,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-06 07:00:00,25.785,25.785,25.24,25.46,5332100.0
2121,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-07 07:00:00,25.495,25.495,25.045,25.425,4103100.0
2122,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-08 07:00:00,25.425,25.655,25.28,25.36,4365500.0
2123,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-09 07:00:00,25.43,25.44,24.84,25.165,4898500.0
2124,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-12 07:00:00,25.195,25.335,24.95,25.095,3491500.0
2125,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-13 07:00:00,25.095,25.2,25.01,25.065,3551600.0
2126,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-14 07:00:00,25.08,25.135,24.9,24.93,5020200.0
2127,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-15 07:00:00,24.93,25.095,24.39,24.585,8688800.0
2128,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-16 07:00:00,24.595,25.08,24.405,24.955,8931800.0
2129,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-19 07:00:00,25.1,25.5,24.705,24.825,21256500.0
2130,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-20 07:00:00,24.72,25.13,24.72,25.12,18238700.0
2131,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-21 07:00:00,25.39,25.455,25.07,25.385,20951300.0
2132,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-22 07:00:00,25.48,26.045,25.09,25.32,37147600.0
2133,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-23 07:00:00,25.205,25.44,25.115,25.32,9015200.0
2134,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-26 07:00:00,25.34,25.615,25.13,25.475,10707500.0
2135,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-27 07:00:00,25.59,25.95,25.48,25.905,11715100.0
2136,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-28 07:00:00,25.91,26.21,25.835,26.065,13192600.0
2137,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-29 07:00:00,26.1,26.435,26.1,26.315,14066300.0
2138,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-12-30 07:00:00,26.35,26.4,25.85,26.13,12501300.0
2139,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-03 07:00:00,26.2,26.235,25.96,26.14,3408900.0
2140,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-04 07:00:00,26.14,26.22,25.95,26.055,3934000.0
2141,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-05 07:00:00,26.01,26.15,25.965,26.025,3698100.0
2142,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-06 07:00:00,26.03,26.09,25.955,26.01,2299400.0
2143,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-09 07:00:00,26.01,26.14,25.915,26.025,5367500.0
2144,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-10 07:00:00,26.0,26.0,25.6,25.865,6470100.0
2145,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-11 07:00:00,25.95,26.37,25.75,26.355,7383200.0
2146,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-12 07:00:00,26.4,26.4,25.955,26.0,7795000.0
2147,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-13 07:00:00,26.05,26.355,25.88,26.26,9042400.0
2148,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-16 07:00:00,26.365,26.92,26.305,26.845,12420100.0
2149,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-17 07:00:00,26.84,27.185,26.185,26.535,11473200.0
2150,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-18 07:00:00,26.54,27.07,26.4,26.835,9547100.0
2151,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-19 07:00:00,26.8,27.0,26.32,26.57,8383800.0
2152,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-20 07:00:00,26.57,26.75,26.425,26.67,5225700.0
